"","V1","pred.baru.label"
"132","PDS-0668","DESA"
"133","PDS-0671","KELURAHAN"
"134","PDS-0672","DESA"
"135","PDS-0681","DESA"
"136","PDS-0686","DESA"
"137","PDS-0688","DESA"
"138","PDS-0690","KELURAHAN"
"139","PDS-0691","KELURAHAN"
"140","PDS-0699","KELURAHAN"
"141","PDS-0700","DESA"
"142","PDS-0718","KELURAHAN"
"143","PDS-0720","DESA"
"144","PDS-0722","KELURAHAN"
"145","PDS-0727","DESA"
"146","PDS-0729","DESA"
"147","PDS-0768","DESA"
"148","PDS-0769","DESA"
"149","PDS-0770","DESA"
"150","PDS-0772","DESA"
"151","PDS-0779","DESA"
"152","PDS-0781","DESA"
"153","PDS-0782","DESA"
"154","PDS-0785","KELURAHAN"
"155","PDS-0786","DESA"
"156","PDS-0794","DESA"
"157","PDS-0805","DESA"
"158","PDS-0807","DESA"
"159","PDS-0815","DESA"
"160","PDS-0817","DESA"
"161","PDS-0823","DESA"
"162","PDS-0824","DESA"
"163","PDS-0828","DESA"
"164","PDS-0831","KELURAHAN"
"165","PDS-0846","KELURAHAN"
"166","PDS-0847","DESA"
"167","PDS-0852","DESA"
"168","PDS-0854","KELURAHAN"
"169","PDS-0855","KELURAHAN"
"170","PDS-0856","DESA"
"171","PDS-0858","DESA"
"172","PDS-0860","DESA"
"173","PDS-0861","DESA"
"174","PDS-0862","KELURAHAN"
"175","PDS-0870","DESA"
"176","PDS-0871","DESA"
"177","PDS-0877","DESA"
"178","PDS-0883","DESA"
"179","PDS-0888","DESA"
"180","PDS-0893","DESA"
"181","PDS-0895","DESA"
"182","PDS-0898","DESA"
"183","PDS-0900","DESA"
"184","PDS-0911","KELURAHAN"
"185","PDS-0918","DESA"
"186","PDS-0920","KELURAHAN"
"187","PDS-0923","KELURAHAN"
"188","PDS-0924","DESA"
"189","PDS-0930","DESA"
"190","PDS-0936","KELURAHAN"
"191","PDS-0952","DESA"
"192","PDS-0955","DESA"
"193","PDS-0956","KELURAHAN"
"194","PDS-0957","DESA"
"195","PDS-0969","KELURAHAN"
"196","PDS-0975","DESA"
"197","PDS-0988","DESA"
"198","PDS-0989","KELURAHAN"
"199","PDS-0996","DESA"
"200","PDS-1000","DESA"
"201","PDS-1001","DESA"
"202","PDS-1008","DESA"
"203","PDS-1014","DESA"
"204","PDS-1015","DESA"
"205","PDS-1016","DESA"
"206","PDS-1017","DESA"
"207","PDS-1020","DESA"
"208","PDS-1022","KELURAHAN"
"209","PDS-1059","KELURAHAN"
"210","PDS-1060","DESA"
"211","PDS-1061","KELURAHAN"
"212","PDS-1063","KELURAHAN"
"213","PDS-1073","DESA"
"214","PDS-1081","DESA"
"215","PDS-1082","KELURAHAN"
"216","PDS-1089","DESA"
"217","PDS-1090","KELURAHAN"
"218","PDS-1094","DESA"
"219","PDS-1099","KELURAHAN"
"220","PDS-1103","KELURAHAN"
"221","PDS-1105","DESA"
"222","PDS-1106","DESA"
"223","PDS-1117","DESA"
"224","PDS-1118","DESA"
"225","PDS-1121","DESA"
"226","PDS-1126","KELURAHAN"
"227","PDS-1133","DESA"
"228","PDS-1135","DESA"
"229","PDS-1137","DESA"
"230","PDS-1138","DESA"
"231","PDS-1141","KELURAHAN"
"232","PDS-1142","DESA"
"233","PDS-1151","DESA"
"234","PDS-1152","DESA"
"235","PDS-1155","DESA"
"236","PDS-1166","DESA"
"237","PDS-1168","DESA"
"238","PDS-1170","DESA"
"239","PDS-1172","DESA"
"240","PDS-1178","DESA"
"241","PDS-1197","DESA"
"242","PDS-1201","KELURAHAN"
"243","PDS-1208","DESA"
"244","PDS-1215","DESA"
"245","PDS-1219","DESA"
"246","PDS-1229","DESA"
"247","PDS-1230","DESA"
"248","PDS-1231","KELURAHAN"
"249","PDS-1240","KELURAHAN"
"250","PDS-1241","DESA"
"251","PDS-1249","KELURAHAN"
"252","PDS-1253","KELURAHAN"
"253","PDS-1263","DESA"
"254","PDS-1268","KELURAHAN"
"255","PDS-1272","DESA"
"256","PDS-1280","DESA"
"257","PDS-1284","DESA"
"258","PDS-1287","DESA"
"259","PDS-1290","DESA"
"260","PDS-1297","KELURAHAN"
"261","PDS-1301","DESA"
"262","PDS-1305","KELURAHAN"
"263","PDS-1307","DESA"
"264","PDS-1308","DESA"
"265","PDS-1313","DESA"
"266","PDS-1317","DESA"
"267","PDS-1320","DESA"
"268","PDS-1325","DESA"
"269","PDS-1342","KELURAHAN"
"270","PDS-1343","KELURAHAN"
"271","PDS-1354","DESA"
"272","PDS-1362","DESA"
"273","PDS-1364","DESA"
"274","PDS-1368","DESA"
"275","PDS-1377","DESA"
"276","PDS-1379","DESA"
"277","PDS-1381","DESA"
"278","PDS-1382","DESA"
"279","PDS-1383","KELURAHAN"
"280","PDS-1390","DESA"
"281","PDS-1402","DESA"
"282","PDS-1404","DESA"
"283","PDS-1410","DESA"
"284","PDS-1425","DESA"
"285","PDS-1429","DESA"
"286","PDS-1432","DESA"
"287","PDS-1436","DESA"
"288","PDS-1446","DESA"
"289","PDS-1448","DESA"
"290","PDS-1461","DESA"
"291","PDS-1482","DESA"
"292","PDS-1493","DESA"
"293","PDS-1501","KELURAHAN"
"294","PDS-1518","KELURAHAN"
"295","PDS-1519","KELURAHAN"
"296","PDS-1520","DESA"
"297","PDS-1525","DESA"
"298","PDS-1530","DESA"
"299","PDS-1532","KELURAHAN"
"300","PDS-1539","DESA"
"301","PDS-1543","DESA"
"302","PDS-1547","DESA"
"303","PDS-1550","DESA"
"304","PDS-1552","DESA"
"305","PDS-1557","DESA"
"306","PDS-1561","KELURAHAN"
"307","PDS-1582","DESA"
"308","PDS-1586","DESA"
"309","PDS-1590","DESA"
"310","PDS-1592","DESA"
"311","PDS-1606","KELURAHAN"
"312","PDS-1608","DESA"
"313","PDS-1620","DESA"
"314","PDS-1623","KELURAHAN"
"315","PDS-1626","KELURAHAN"
"316","PDS-1628","KELURAHAN"
"317","PDS-1629","DESA"
"318","PDS-1630","DESA"
"319","PDS-1631","DESA"
"320","PDS-1634","DESA"
"321","PDS-1637","DESA"
"322","PDS-1638","DESA"
"323","PDS-1639","DESA"
"324","PDS-1646","DESA"
"325","PDS-1647","KELURAHAN"
"326","PDS-1652","DESA"
"327","PDS-1668","DESA"
"328","PDS-1674","DESA"
"329","PDS-1679","DESA"
"330","PDS-1680","DESA"
"331","PDS-1683","DESA"
"332","PDS-1686","DESA"
"333","PDS-1696","DESA"
"334","PDS-1697","DESA"
"335","PDS-1701","KELURAHAN"
"336","PDS-1709","DESA"
"337","PDS-1718","DESA"
"338","PDS-1725","DESA"
"339","PDS-1728","KELURAHAN"
"340","PDS-1734","DESA"
"341","PDS-1735","DESA"
"342","PDS-1736","KELURAHAN"
"343","PDS-1743","DESA"
"344","PDS-1751","DESA"
"345","PDS-1754","DESA"
"346","PDS-1757","DESA"
"347","PDS-1758","DESA"
"348","PDS-1760","KELURAHAN"
"349","PDS-1762","DESA"
"350","PDS-1763","DESA"
"351","PDS-1764","DESA"
"352","PDS-1773","KELURAHAN"
"353","PDS-1775","DESA"
"354","PDS-1779","DESA"
"355","PDS-1793","DESA"
"356","PDS-1799","DESA"
"357","PDS-1803","DESA"
"358","PDS-1807","DESA"
"359","PDS-1811","DESA"
"360","PDS-1814","DESA"
"361","PDS-1817","DESA"
"362","PDS-1820","DESA"
"363","PDS-1824","DESA"
"364","PDS-1827","DESA"
"365","PDS-1829","DESA"
"366","PDS-1843","DESA"
"367","PDS-1849","DESA"
"368","PDS-1853","DESA"
"369","PDS-1855","KELURAHAN"
"370","PDS-1856","DESA"
"371","PDS-1857","DESA"
"372","PDS-1864","DESA"
"373","PDS-1869","DESA"
"374","PDS-1876","KELURAHAN"
"375","PDS-1882","DESA"
"376","PDS-1893","KELURAHAN"
"377","PDS-1896","DESA"
"378","PDS-1899","DESA"
"379","PDS-1900","DESA"
"380","PDS-1907","DESA"
"381","PDS-1908","DESA"
"382","PDS-1909","DESA"
"383","PDS-1914","KELURAHAN"
"384","PDS-1915","DESA"
"385","PDS-1918","KELURAHAN"
"386","PDS-1921","KELURAHAN"
"387","PDS-1926","KELURAHAN"
"388","PDS-1931","KELURAHAN"
"389","PDS-1932","KELURAHAN"
"390","PDS-1933","DESA"
"391","PDS-1934","DESA"
"392","PDS-1937","KELURAHAN"
"393","PDS-1940","DESA"
"394","PDS-1943","KELURAHAN"
"395","PDS-1949","KELURAHAN"
"396","PDS-1959","DESA"
"397","PDS-1961","DESA"
"398","PDS-1970","KELURAHAN"
"399","PDS-1971","KELURAHAN"
"400","PDS-1975","DESA"
"401","PDS-1981","DESA"
"402","PDS-1987","DESA"
"403","PDS-1989","DESA"
"404","PDS-1991","DESA"
"405","PDS-1994","KELURAHAN"
"406","PDS-1999","DESA"
"407","PDS-2006","KELURAHAN"
"408","PDS-2008","DESA"
"409","PDS-2012","DESA"
"410","PDS-2015","DESA"
"411","PDS-2024","KELURAHAN"
"412","PDS-2028","DESA"
"413","PDS-2033","DESA"
"414","PDS-2034","DESA"
"415","PDS-2045","DESA"
"416","PDS-2049","DESA"
"417","PDS-2050","DESA"
"418","PDS-2051","KELURAHAN"
"419","PDS-2065","DESA"
"420","PDS-2072","DESA"
"421","PDS-2080","KELURAHAN"
"422","PDS-2083","DESA"
"423","PDS-2093","DESA"
"424","PDS-2094","DESA"
"425","PDS-2097","DESA"
"426","PDS-2098","DESA"
"427","PDS-2101","KELURAHAN"
"428","PDS-2104","DESA"
"429","PDS-2105","DESA"
"430","PDS-2106","KELURAHAN"
"431","PDS-2107","DESA"
"432","PDS-2114","DESA"
"433","PDS-2117","DESA"
"434","PDS-2121","DESA"
"435","PDS-2126","DESA"
"436","PDS-2138","DESA"
"437","PDS-2140","DESA"
"438","PDS-2144","DESA"
"439","PDS-2152","KELURAHAN"
"440","PDS-2159","DESA"
"441","PDS-2160","DESA"
"442","PDS-2170","DESA"
"443","PDS-2177","DESA"
"444","PDS-2180","KELURAHAN"
"445","PDS-2188","KELURAHAN"
"446","PDS-2191","DESA"
"447","PDS-2193","DESA"
"448","PDS-2194","DESA"
"449","PDS-2197","DESA"
"450","PDS-2199","KELURAHAN"
"451","PDS-2201","DESA"
"452","PDS-2205","DESA"
"453","PDS-2218","KELURAHAN"
"454","PDS-2220","DESA"
"455","PDS-2225","DESA"
"456","PDS-2231","DESA"
"457","PDS-2243","DESA"
"458","PDS-2244","DESA"
"459","PDS-2258","KELURAHAN"
"460","PDS-2262","DESA"
"461","PDS-2279","DESA"
"462","PDS-2283","DESA"
"463","PDS-2286","DESA"
"464","PDS-2290","DESA"
"465","PDS-2293","KELURAHAN"
"466","PDS-2295","KELURAHAN"
"467","PDS-2296","DESA"
"468","PDS-2308","DESA"
"469","PDS-2328","KELURAHAN"
"470","PDS-2331","DESA"
"471","PDS-2337","KELURAHAN"
"472","PDS-2344","DESA"
"473","PDS-2353","KELURAHAN"
"474","PDS-2354","KELURAHAN"
"475","PDS-2357","DESA"
"476","PDS-2366","DESA"
"477","PDS-2369","DESA"
"478","PDS-2377","DESA"
"479","PDS-2379","DESA"
"480","PDS-2383","DESA"
"481","PDS-2385","DESA"
"482","PDS-2386","DESA"
"483","PDS-2397","DESA"
"484","PDS-2412","KELURAHAN"
"485","PDS-2422","DESA"
"486","PDS-2425","DESA"
"487","PDS-2427","DESA"
"488","PDS-2428","DESA"
"489","PDS-2429","KELURAHAN"
"490","PDS-2431","DESA"
"491","PDS-2434","DESA"
"492","PDS-2438","DESA"
"493","PDS-2441","DESA"
"494","PDS-2444","DESA"
"495","PDS-2452","KELURAHAN"
"496","PDS-2455","DESA"
"497","PDS-2462","DESA"
"498","PDS-2469","DESA"
"499","PDS-2470","KELURAHAN"
"500","PDS-2473","DESA"
"501","PDS-2476","DESA"
"502","PDS-2480","DESA"
"503","PDS-2483","KELURAHAN"
"504","PDS-2490","DESA"
"505","PDS-2491","DESA"
"506","PDS-2492","DESA"
"507","PDS-2495","DESA"
"508","PDS-2503","DESA"
"509","PDS-2521","DESA"
"510","PDS-2525","DESA"
"511","PDS-2531","DESA"
"512","PDS-2536","DESA"
"513","PDS-2540","DESA"
"514","PDS-2552","DESA"
"515","PDS-2556","DESA"
"516","PDS-2558","DESA"
"517","PDS-2564","DESA"
"518","PDS-2569","DESA"
"519","PDS-2574","DESA"
"520","PDS-2582","DESA"
"521","PDS-2591","DESA"
"522","PDS-2592","KELURAHAN"
"523","PDS-2598","DESA"
"524","PDS-2600","DESA"
"525","PDS-2601","DESA"
"526","PDS-2611","DESA"
"527","PDS-2613","KELURAHAN"
"528","PDS-2619","DESA"
"529","PDS-2633","DESA"
"530","PDS-2643","DESA"
"531","PDS-2644","DESA"
"532","PDS-2659","DESA"
"533","PDS-2660","DESA"
"534","PDS-2661","DESA"
"535","PDS-2666","DESA"
"536","PDS-2668","DESA"
"537","PDS-2669","DESA"
"538","PDS-2675","DESA"
"539","PDS-2691","DESA"
"540","PDS-2694","DESA"
"541","PDS-2696","DESA"
"542","PDS-2697","DESA"
"543","PDS-2701","DESA"
"544","PDS-2709","KELURAHAN"
"545","PDS-2712","DESA"
"546","PDS-2718","DESA"
"547","PDS-2720","DESA"
"548","PDS-2721","DESA"
"549","PDS-2736","DESA"
"550","PDS-2739","DESA"
"551","PDS-2746","KELURAHAN"
"552","PDS-2748","DESA"
"553","PDS-2750","KELURAHAN"
"554","PDS-2758","DESA"
"555","PDS-2762","DESA"
"556","PDS-2764","DESA"
"557","PDS-2776","DESA"
"558","PDS-2780","KELURAHAN"
"559","PDS-2781","DESA"
"560","PDS-2787","KELURAHAN"
"561","PDS-2788","DESA"
"562","PDS-2801","DESA"
"563","PDS-2809","KELURAHAN"
"564","PDS-2812","DESA"
"565","PDS-2818","DESA"
"566","PDS-2828","DESA"
"567","PDS-2829","KELURAHAN"
"568","PDS-2833","KELURAHAN"
"569","PDS-2840","DESA"
"570","PDS-2845","DESA"
"571","PDS-2850","KELURAHAN"
"572","PDS-2851","DESA"
"573","PDS-2853","DESA"
"574","PDS-2855","KELURAHAN"
"575","PDS-2864","KELURAHAN"
"576","PDS-2867","DESA"
"577","PDS-2870","DESA"
"578","PDS-2872","DESA"
"579","PDS-2876","DESA"
"580","PDS-2891","DESA"
"581","PDS-2892","DESA"
"582","PDS-2896","DESA"
"583","PDS-2912","KELURAHAN"
"584","PDS-2915","DESA"
"585","PDS-2921","DESA"
"586","PDS-2943","DESA"
"587","PDS-2952","DESA"
"588","PDS-2962","DESA"
"589","PDS-2963","DESA"
"590","PDS-2965","DESA"
"591","PDS-2968","DESA"
"592","PDS-2970","DESA"
"593","PDS-2973","KELURAHAN"
"594","PDS-2976","KELURAHAN"
"595","PDS-2984","DESA"
"596","PDS-2986","DESA"
"597","PDS-2990","DESA"
"598","PDS-2995","DESA"
"599","PDS-3005","DESA"
"600","PDS-3006","DESA"
"601","PDS-3010","KELURAHAN"
"602","PDS-3021","DESA"
"603","PDS-3029","DESA"
"604","PDS-3041","KELURAHAN"
"605","PDS-3042","DESA"
"606","PDS-3052","DESA"
"607","PDS-3053","KELURAHAN"
"608","PDS-3055","DESA"
"609","PDS-3068","DESA"
"610","PDS-3073","DESA"
"611","PDS-3075","DESA"
"612","PDS-3082","DESA"
"613","PDS-3084","DESA"
"614","PDS-3087","KELURAHAN"
"615","PDS-3094","DESA"
"616","PDS-3104","KELURAHAN"
"617","PDS-3113","DESA"
"618","PDS-3130","DESA"
"619","PDS-3135","DESA"
"620","PDS-3136","KELURAHAN"
"621","PDS-3138","KELURAHAN"
"622","PDS-3142","DESA"
"623","PDS-3153","KELURAHAN"
"624","PDS-3156","DESA"
"625","PDS-3164","DESA"
"626","PDS-3168","DESA"
"627","PDS-3174","KELURAHAN"
"628","PDS-3179","KELURAHAN"
"629","PDS-3181","DESA"
"630","PDS-3187","DESA"
"631","PDS-3192","DESA"
"632","PDS-3217","DESA"
"633","PDS-3225","DESA"
"634","PDS-3226","DESA"
"635","PDS-3229","DESA"
"636","PDS-3237","DESA"
"637","PDS-3250","DESA"
"638","PDS-3253","KELURAHAN"
"639","PDS-3254","DESA"
"640","PDS-3256","KELURAHAN"
"641","PDS-3260","KELURAHAN"
"642","PDS-3263","DESA"
"643","PDS-3267","KELURAHAN"
"644","PDS-3268","KELURAHAN"
"645","PDS-3274","DESA"
"646","PDS-3279","DESA"
"647","PDS-3292","DESA"
"648","PDS-3293","KELURAHAN"
"649","PDS-3295","DESA"
"650","PDS-3301","KELURAHAN"
"651","PDS-3305","DESA"
"652","PDS-3307","KELURAHAN"
"653","PDS-3312","DESA"
"654","PDS-3314","KELURAHAN"
"655","PDS-3322","DESA"
"656","PDS-3328","DESA"
"657","PDS-3331","KELURAHAN"
"658","PDS-3343","DESA"
"659","PDS-3344","DESA"
"660","PDS-3349","DESA"
"661","PDS-3357","DESA"
"662","PDS-3362","KELURAHAN"
"663","PDS-3364","DESA"
"664","PDS-3369","DESA"
"665","PDS-3374","DESA"
"666","PDS-3375","DESA"
"667","PDS-3381","DESA"
"668","PDS-3385","KELURAHAN"
"669","PDS-3390","DESA"
"670","PDS-3391","DESA"
"671","PDS-3392","KELURAHAN"
"672","PDS-3409","KELURAHAN"
"673","PDS-3415","KELURAHAN"
"674","PDS-3418","KELURAHAN"
"675","PDS-3420","KELURAHAN"
"676","PDS-3421","DESA"
"677","PDS-3424","KELURAHAN"
"678","PDS-3431","DESA"
"679","PDS-3436","KELURAHAN"
"680","PDS-3437","DESA"
"681","PDS-3440","KELURAHAN"
"682","PDS-3441","DESA"
"683","PDS-3445","DESA"
"684","PDS-3451","DESA"
"685","PDS-3453","DESA"
"686","PDS-3454","DESA"
"687","PDS-3457","DESA"
"688","PDS-3472","DESA"
"689","PDS-3477","KELURAHAN"
"690","PDS-3491","DESA"
"691","PDS-3501","DESA"
"692","PDS-3507","DESA"
"693","PDS-3517","DESA"
"694","PDS-3522","KELURAHAN"
"695","PDS-3531","DESA"
"696","PDS-3537","DESA"
"697","PDS-3552","KELURAHAN"
"698","PDS-3553","KELURAHAN"
"699","PDS-3554","DESA"
"700","PDS-3555","DESA"
"701","PDS-3557","DESA"
"702","PDS-3562","KELURAHAN"
"703","PDS-3565","DESA"
"704","PDS-3569","DESA"
"705","PDS-3584","KELURAHAN"
"706","PDS-3587","DESA"
"707","PDS-3597","DESA"
"708","PDS-3601","DESA"
"709","PDS-3607","DESA"
"710","PDS-3611","DESA"
"711","PDS-3628","DESA"
"712","PDS-3630","DESA"
"713","PDS-3631","DESA"
"714","PDS-3632","DESA"
"715","PDS-3637","DESA"
"716","PDS-3641","DESA"
"717","PDS-3643","KELURAHAN"
"718","PDS-3645","DESA"
"719","PDS-3646","KELURAHAN"
"720","PDS-3649","KELURAHAN"
"721","PDS-3655","DESA"
"722","PDS-3665","DESA"
"723","PDS-3668","DESA"
"724","PDS-3677","DESA"
"725","PDS-3684","DESA"
"726","PDS-3688","DESA"
"727","PDS-3697","DESA"
"728","PDS-3701","DESA"
"729","PDS-3702","DESA"
"730","PDS-3710","KELURAHAN"
"731","PDS-3713","DESA"
"732","PDS-3714","KELURAHAN"
"733","PDS-3717","DESA"
"734","PDS-3720","DESA"
"735","PDS-3727","KELURAHAN"
"736","PDS-3728","DESA"
"737","PDS-3732","DESA"
"738","PDS-3739","DESA"
"739","PDS-3742","DESA"
"740","PDS-3745","DESA"
"741","PDS-3749","DESA"
"742","PDS-3751","KELURAHAN"
"743","PDS-3755","DESA"
"744","PDS-3757","DESA"
"745","PDS-3761","DESA"
"746","PDS-3763","DESA"
"747","PDS-3765","DESA"
"748","PDS-3766","DESA"
"749","PDS-3792","DESA"
"750","PDS-3798","DESA"
"751","PDS-3803","KELURAHAN"
"752","PDS-3806","DESA"
"753","PDS-3808","KELURAHAN"
"754","PDS-3809","DESA"
"755","PDS-3811","KELURAHAN"
"756","PDS-3813","DESA"
"757","PDS-3815","DESA"
"758","PDS-3817","KELURAHAN"
"759","PDS-3819","DESA"
"760","PDS-3826","KELURAHAN"
"761","PDS-3829","KELURAHAN"
"762","PDS-3831","DESA"
"763","PDS-3833","DESA"
"764","PDS-3840","DESA"
"765","PDS-3842","DESA"
"766","PDS-3850","DESA"
"767","PDS-3851","DESA"
"768","PDS-3864","KELURAHAN"
"769","PDS-3865","DESA"
"770","PDS-3867","KELURAHAN"
"771","PDS-3869","KELURAHAN"
"772","PDS-3872","DESA"
"773","PDS-3891","DESA"
"774","PDS-3894","KELURAHAN"
"775","PDS-3901","DESA"
"776","PDS-3907","KELURAHAN"
"777","PDS-3912","DESA"
"778","PDS-3914","DESA"
"779","PDS-3916","KELURAHAN"
"780","PDS-3928","DESA"
"781","PDS-3936","DESA"
"782","PDS-3944","DESA"
"783","PDS-3960","DESA"
"784","PDS-3968","DESA"
"785","PDS-3969","DESA"
"786","PDS-3971","DESA"
"787","PDS-3973","DESA"
"788","PDS-3984","DESA"
"789","PDS-3988","DESA"
"790","PDS-3999","DESA"
"791","PDS-4001","DESA"
"792","PDS-4010","DESA"
"793","PDS-4015","DESA"
"794","PDS-4018","KELURAHAN"
"795","PDS-4019","DESA"
"796","PDS-4021","KELURAHAN"
"797","PDS-4026","DESA"
"798","PDS-4034","DESA"
"799","PDS-4080","DESA"
"800","PDS-4083","DESA"
"801","PDS-4089","DESA"
"802","PDS-4091","DESA"
"803","PDS-4108","DESA"
"804","PDS-4109","DESA"
"805","PDS-4110","DESA"
"806","PDS-4115","DESA"
"807","PDS-4118","DESA"
"808","PDS-4132","DESA"
"809","PDS-4134","DESA"
"810","PDS-4135","DESA"
"811","PDS-4136","DESA"
"812","PDS-4139","DESA"
"813","PDS-4143","DESA"
"814","PDS-4146","DESA"
"815","PDS-4147","DESA"
"816","PDS-4159","DESA"
"817","PDS-4165","KELURAHAN"
"818","PDS-4168","DESA"
"819","PDS-4172","DESA"
"820","PDS-4173","DESA"
"821","PDS-4174","DESA"
"822","PDS-4178","DESA"
"823","PDS-4189","DESA"
"824","PDS-4196","DESA"
"825","PDS-4209","DESA"
"826","PDS-4213","DESA"
"827","PDS-4214","DESA"
"828","PDS-4215","DESA"
"829","PDS-4233","KELURAHAN"
"830","PDS-4235","DESA"
"831","PDS-4237","DESA"
"832","PDS-4244","DESA"
"833","PDS-4250","DESA"
"834","PDS-4252","DESA"
"835","PDS-4256","DESA"
"836","PDS-4264","KELURAHAN"
"837","PDS-4277","DESA"
"838","PDS-4284","DESA"
"839","PDS-4288","KELURAHAN"
"840","PDS-4298","DESA"
"841","PDS-4301","DESA"
"842","PDS-4313","KELURAHAN"
"843","PDS-4325","DESA"
"844","PDS-4331","DESA"
"845","PDS-4332","DESA"
"846","PDS-4335","KELURAHAN"
"847","PDS-4347","DESA"
"848","PDS-4358","DESA"
"849","PDS-4359","DESA"
"850","PDS-4361","DESA"
"851","PDS-4362","KELURAHAN"
"852","PDS-4364","DESA"
"853","PDS-4371","DESA"
"854","PDS-4379","DESA"
"855","PDS-4381","DESA"
"856","PDS-4390","DESA"
"857","PDS-4391","DESA"
"858","PDS-4397","DESA"
"859","PDS-4407","DESA"
"860","PDS-4426","KELURAHAN"
"861","PDS-4427","DESA"
"862","PDS-4431","DESA"
"863","PDS-4432","DESA"
"864","PDS-4433","DESA"
"865","PDS-4435","DESA"
"866","PDS-4438","DESA"
"867","PDS-4441","DESA"
"868","PDS-4444","DESA"
"869","PDS-4445","DESA"
"870","PDS-4452","DESA"
"871","PDS-4453","DESA"
"872","PDS-4459","DESA"
"873","PDS-4461","DESA"
"874","PDS-4466","DESA"
"875","PDS-4471","DESA"
"876","PDS-4479","DESA"
